,Soggetti,Predizione,Soggetto reale,Test
0,8118,0.9997954964637756,8118,1
1,11112,3.47665227309335e-05,8118,1
2,41211,3.3660122426226735e-05,8118,1
3,2114,2.539210436225403e-05,8118,1
4,51247,2.426383798592724e-05,8118,1
5,72210,1.7029316950356588e-05,8118,1
6,4119,1.3697998838324565e-05,8118,1
7,51178,7.86762211646419e-06,8118,1
8,,,,
9,8116,0.9978333115577698,8116,2
10,52254,0.0011352663859724998,8116,2
11,62233,0.0002802204398903996,8116,2
12,1125,0.00027578871231526136,8116,2
13,41112,7.570409070467576e-05,8116,2
14,7126,7.503863162128255e-05,8116,2
15,1218,6.617476901737973e-05,8116,2
16,61225,4.4723939936375245e-05,8116,2
17,,,,
18,21213,0.7780656218528748,8115,3
19,4225,0.13592778146266937,8115,3
20,8118,0.020931538194417953,8115,3
21,51232,0.017889903858304024,8115,3
22,2111,0.009251317009329796,8115,3
23,1119,0.005378206726163626,8115,3
24,71111,0.004890682641416788,8115,3
25,52112,0.003591162385419011,8115,3
26,,,,
27,8113,0.2209888994693756,8113,4
28,51246,0.1811559498310089,8113,4
29,3116,0.14045222103595734,8113,4
30,51195,0.11663569509983063,8113,4
31,61227,0.10009057074785233,8113,4
32,42210,0.0811682939529419,8113,4
33,7227,0.05018802732229233,8113,4
34,8114,0.027560394257307053,8113,4
35,,,,
36,12213,0.40697577595710754,8112,5
37,61223,0.35891515016555786,8112,5
38,8112,0.10384014248847961,8112,5
39,8122,0.03544663265347481,8112,5
40,8225,0.025311460718512535,8112,5
41,8218,0.022962519899010658,8112,5
42,61226,0.011210275813937187,8112,5
43,3211,0.006771201733499765,8112,5
44,,,,
45,21213,0.7434903979301453,8114,6
46,8114,0.16969259083271027,8114,6
47,51191,0.041957419365644455,8114,6
48,51232,0.038871608674526215,8114,6
49,41111,0.0036738007329404354,8114,6
50,4227,0.0005407612188719213,8114,6
51,2111,0.00042710878187790513,8114,6
52,7228,0.0003489419468678534,8114,6
53,,,,
54,8111,0.9164323210716248,8111,7
55,2121,0.044438354671001434,8111,7
56,12213,0.019850438460707664,8111,7
57,71217,0.009311579167842865,8111,7
58,72214,0.005196725018322468,8111,7
59,8211,0.00274811964482069,8111,7
60,7128,0.0005160581204108894,8111,7
61,2223,0.0005036605289205909,8111,7
62,,,,
63,8117,0.9966627955436707,8117,8
64,51241,0.000988290528766811,8117,8
65,71210,0.00045952899381518364,8117,8
66,51274,0.0004239908594172448,8117,8
67,32110,0.0003956158470828086,8117,8
68,2227,0.00027885136660188437,8117,8
69,71112,0.00020264938939362764,8117,8
70,4122,0.00019116616749670357,8117,8
71,,,,
72,8126,0.9912240505218506,8126,9
73,32118,0.0019389546941965818,8126,9
74,6121,0.001736189122311771,8126,9
75,41112,0.001000907737761736,8126,9
76,51253,0.0008617854909971356,8126,9
77,21212,0.0007998935761861503,8126,9
78,2224,0.0007836640579625964,8126,9
